"component","accuracy","kappa"
1,0.836672629695886,-0.00298083747338528
2,0.8436076326774,0.0531935090559238
3,0.845915324985092,0.0742193668948914
4,0.908306499701849,0.589783956453258
5,0.918312462731067,0.642626367754899
6,0.932963625521765,0.718484051183296
7,0.933732856290996,0.721019886586065
8,0.935277280858676,0.72895757808866
9,0.865211687537269,0.509462509630261
10,0.870572450805009,0.375292969405234
11,0.839087656529517,0.388493770738371
12,0.847447823494335,0.459394362001948
13,0.879039952295766,0.540559668284519
14,0.865122242098986,0.515116789626396
15,0.809773404889684,0.395518045594977
16,0.855217650566488,0.452789551656384
17,0.853703041144902,0.526220812478876
18,0.882081097197376,0.557585416754823
19,0.932230172927847,0.728626671893356
20,0.877555158020274,0.567933620877988
21,0.895247465712582,0.554966835274072
22,0.920644007155635,0.687192493234327
23,0.927584973166369,0.724989643508893
24,0.921365533691115,0.714987909255356
25,0.909809183064997,0.665265423933753
26,0.904508050089445,0.657746467355274
27,0.879081693500298,0.570325993509931
28,0.892945736434109,0.625166979372153
29,0.903643410852713,0.649186231703747
30,0.902128801431127,0.621753738879244
31,0.924519976147883,0.717888987337851
32,0.882128801431127,0.581622524148877
33,0.918342277877162,0.684291792446911
34,0.917596899224806,0.693196500390411
35,0.901383422778772,0.638558084827656
36,0.910632081097197,0.67751936840078
37,0.912188431723315,0.654165924952799
38,0.91989862850328,0.713179715540241
39,0.931419200954085,0.741807840156068
40,0.929874776386404,0.735770390604478
41,0.916040548598688,0.691195778551767
42,0.946058437686345,0.788609415165427
43,0.94608228980322,0.788407222372735
44,0.956851520572451,0.831342969849347
45,0.9476267143709,0.801717570886136
46,0.954531902206321,0.825308026958714
47,0.949940369707812,0.807388476994501
48,0.94685748360167,0.804210356328256
49,0.940715563506261,0.772350994750871
50,0.939892665474061,0.774204802148499
51,0.944525939177102,0.79324575295893
52,0.943756708407871,0.792747019902761
53,0.939147286821705,0.773741638793815
54,0.936821705426357,0.768921126465626
55,0.936064400715564,0.765500315964698
56,0.933005366726297,0.748557636124584
57,0.944555754323196,0.791354584844945
58,0.946064400715564,0.793110802629326
59,0.943780560524747,0.78994369154888
60,0.938366129994037,0.773016626381723
61,0.947608825283244,0.802664232027179
62,0.944543828264758,0.791679030537392
63,0.944549791293977,0.789957545405544
64,0.94298747763864,0.783040448287886
65,0.94453786523554,0.79484983882651
66,0.93989862850328,0.777776217709681
67,0.941431127012522,0.784714073728154
68,0.940685748360167,0.777173884416965
69,0.941454979129398,0.778255612607626
70,0.939135360763268,0.768023418567911
71,0.94376267143709,0.790191267553317
72,0.934514013118664,0.756927415484048
73,0.939910554561717,0.77586938647715
74,0.94840190816935,0.802959277411769
75,0.955324985092427,0.829892432790863
76,0.95144305307096,0.814294566438775
77,0.956088252832439,0.831212148682997
78,0.946076326774001,0.796578734797311
79,0.943774597495528,0.789531296552781
80,0.945313059033989,0.793430437831063
81,0.939916517590936,0.782101577715673
82,0.946064400715564,0.794105164986311
83,0.949147286821705,0.807675298984425
84,0.939147286821705,0.774142265596462
85,0.942981514609422,0.787995954327776
86,0.950655933214073,0.814445121915644
87,0.944531902206321,0.791568423073527
88,0.93834824090638,0.772643068030852
89,0.95144305307096,0.815612146566067
90,0.952999403697078,0.815988596168561
91,0.948366129994037,0.804869468308775
92,0.951460942158617,0.818294858442933
93,0.953780560524747,0.823040889001382
94,0.950685748360167,0.817813342151734
95,0.958395945140131,0.840682789523369
96,0.958395945140131,0.841993311575491
97,0.9576267143709,0.836830583348388
98,0.959165175909362,0.843898654692866
99,0.956064400715564,0.833109532861058
100,0.950661896243292,0.817775455437749
